feature,x_val,partial_effect,ci_lo,ci_hi
y_norm,1.8537195611458155,0.07966556113823436,0.06807526966045105,0.09125585261601768
y_norm,1.8962162015159012,0.08525159885644608,0.07335992005651307,0.09714327765637909
y_norm,1.938712841885986,0.09049022691836595,0.077205264021146,0.1037751898155859
y_norm,1.9812094822560717,0.09553516478199157,0.07951403346844581,0.11155629609553734
y_norm,2.023706122626158,0.10054013190532021,0.08055656629174619,0.12052369751889423
vineyard_frac,0.0,0.0,0.0,0.0
vineyard_frac,0.009898990091651377,0.001368644418578939,0.0012671738702631642,0.0014701149668947136
vineyard_frac,0.019797980183302755,0.002737288837157878,0.0025343477405263284,0.0029402299337894272
vineyard_frac,0.029696970274954132,0.004105933255736817,0.003801521610789493,0.004410344900684141
vineyard_frac,0.03959596036660551,0.005474577674315756,0.005068695481052657,0.0058804598675788545
vineyard_frac,0.04949495045825689,0.006843222092894695,0.006335869351315822,0.007350574834473568
vineyard_frac,0.059393940549908264,0.008211866511473634,0.007603043221578986,0.008820689801368282
vineyard_frac,0.06929293064155964,0.009580510930052572,0.00887021709184215,0.010290804768262994
vineyard_frac,0.07919192073321102,0.010949155348631511,0.010137390962105313,0.011760919735157709
vineyard_frac,0.0890909108248624,0.01231779976721045,0.011404564832368479,0.013231034702052422
vineyard_frac,0.09898990091651377,0.01368644418578939,0.012671738702631644,0.014701149668947136
vineyard_frac,0.10888889100816515,0.015055088604368327,0.013938912572894806,0.01617126463584185
vineyard_frac,0.11878788109981653,0.01642373302294727,0.015206086443157973,0.017641379602736564
vineyard_frac,0.1286868711914679,0.017792377441526206,0.016473260313421136,0.019111494569631276
vineyard_frac,0.13858586128311928,0.019161021860105144,0.0177404341836843,0.020581609536525988
vineyard_frac,0.14848485137477066,0.020529666278684085,0.019007608053947467,0.022051724503420703
vineyard_frac,0.15838384146642204,0.021898310697263022,0.020274781924210627,0.023521839470315418
vineyard_frac,0.16828283155807341,0.02326695511584196,0.02154195579447379,0.02499195443721013
vineyard_frac,0.1781818216497248,0.0246355995344209,0.022809129664736957,0.026462069404104845
vineyard_frac,0.18808081174137617,0.02600424395299984,0.02407630353500012,0.027932184370999556
vineyard_frac,0.19797980183302755,0.02737288837157878,0.025343477405263288,0.02940229933789427
vineyard_frac,0.20787879192467892,0.028741532790157717,0.02661065127552645,0.030872414304788983
vineyard_frac,0.2177777820163303,0.030110177208736655,0.02787782514578961,0.0323425292716837
vineyard_frac,0.22767677210798168,0.03147882162731559,0.029144999016052775,0.03381264423857841
vineyard_frac,0.23757576219963306,0.03284746604589454,0.030412172886315945,0.03528275920547313
vineyard_frac,0.24747475229128443,0.034216110464473475,0.03167934675657911,0.03675287417236784
vineyard_frac,0.2573737423829358,0.03558475488305241,0.03294652062684227,0.03822298913926255
vineyard_frac,0.26727273247458716,0.03695339930163135,0.034213694497105436,0.03969310410615726
vineyard_frac,0.27717172256623857,0.03832204372021029,0.0354808683673686,0.041163219073051975
vineyard_frac,0.28707071265788997,0.03969068813878923,0.03674804223763177,0.042633334039946694
vineyard_frac,0.2969697027495413,0.04105933255736817,0.038015216107894934,0.044103449006841405
vineyard_frac,0.30686869284119267,0.0424279769759471,0.03928238997815809,0.04557356397373611
vineyard_frac,0.3167676829328441,0.043796621394526045,0.040549563848421254,0.047043678940630836
vineyard_frac,0.3266666730244955,0.04516526581310499,0.041816737718684424,0.048513793907525554
vineyard_frac,0.33656566311614683,0.04653391023168392,0.04308391158894758,0.04998390887442026
vineyard_frac,0.3464646532077982,0.04790255465026286,0.044351085459210744,0.05145402384131497
vineyard_frac,0.3563636432994496,0.0492711990688418,0.045618259329473915,0.05292413880820969
vineyard_frac,0.366262633391101,0.050639843487420746,0.046885433199737085,0.05439425377510441
vineyard_frac,0.37616162348275234,0.05200848790599968,0.04815260707000024,0.05586436874199911
vineyard_frac,0.3860606135744037,0.053377132324578615,0.049419780940263405,0.057334483708893824
vineyard_frac,0.3959596036660551,0.05474577674315756,0.050686954810526576,0.05880459867578854
vineyard_frac,0.4058585937577065,0.0561144211617365,0.05195412868078974,0.060274713642683254
vineyard_frac,0.41575758384935785,0.057483065580315434,0.0532213025510529,0.061744828609577966
vineyard_frac,0.4256565739410092,0.05885170999889437,0.054488476421316066,0.06321494357647268
vineyard_frac,0.4355555640326606,0.06022035441747331,0.05575565029157922,0.0646850585433674
vineyard_frac,0.445454554124312,0.061588998836052254,0.05702282416184239,0.06615517351026211
vineyard_frac,0.45535354421596336,0.06295764325463118,0.05828999803210555,0.06762528847715682
vineyard_frac,0.4652525343076147,0.06432628767321012,0.059557171902368714,0.06909540344405153
