vineyard_field_id,NDMI_prefire,NDVI_prefire,ET_gs_mm,awc_0_100cm,awc_0_150cm,area_ha
VYD_02753,-0.1104851199951471,0.30533748400574745,349.15655780196994,16.08,17.43,3.182635170496125
VYD_02754,0.08920022861278754,0.5123778250624818,562.0533738938054,13.49,15.99,0.9946780765744927
VYD_02755,0.1639272224726116,0.627373364904733,579.2921926133708,11.68,11.68,1.1785014855530016
VYD_02756,0.022596529995792678,0.4123110684029309,391.59010827674814,9.74,9.74,3.0216371728911477
VYD_02757,0.28542089100946694,0.7794754215173931,671.7970305993123,18.6,27.6,12.16678172384176
VYD_02758,0.05266252357944657,0.4371499916514366,451.870871191876,5.5,8.0,2.5755677583795675
VYD_02759,-0.027999364371493564,0.4070235793224058,429.8459043462876,13.93,20.43,4.653884508246728
VYD_02760,-0.017671132383068784,0.5195534600766677,513.0838124054462,13.93,20.43,0.9108909141827808
VYD_02761,0.004338143814751202,0.4080264087928559,376.4406127258444,16.4,24.9,3.502041062665214
VYD_02762,-0.08011661095794836,0.3691252879778765,437.310570071259,14.88,19.86,1.390098867195802
VYD_02763,-0.010525136864949894,0.4492799793913972,494.59987397605545,10.68,10.68,0.8693571182114709
VYD_02764,-0.025373855218486927,0.4330342779138229,459.54461018857296,20.55,31.05,1.9569032638177455
VYD_02765,0.14960069696879055,0.6574639436061799,605.814838123208,17.74,26.26,3.934339496516956
VYD_02766,-0.10389655098927986,0.37772238524836577,480.39092039801005,13.48,19.98,2.225437652588449
VYD_02767,0.08104798870755656,0.4881497517787321,319.6212387308279,20.55,31.05,2.348875318181778
VYD_02768,0.010983025659017539,0.45659614634325446,486.08423913043475,8.4,8.4,2.1251681935749946
VYD_02769,-0.005347343921275994,0.49999160943964643,537.3965775569751,16.08,23.13,3.5050062720093003
VYD_02770,0.16397720304807406,0.672702124428636,542.0621487176173,17.74,26.26,4.257448236529938
VYD_02771,-0.05005741794585201,0.3856725296982745,399.9552603036877,16.08,17.43,2.023902165969746
VYD_02772,-0.05295846460318259,0.3956930092319067,482.88359501894956,11.84,11.84,0.511446248846053
VYD_02773,0.009913537022780847,0.4256284390296266,434.03990478857463,13.93,20.43,1.9667447773854172
VYD_02774,0.004218341368330971,0.5122711335737127,443.2687579482832,7.1,7.1,0.647361588753243
VYD_02775,0.10066462640214507,0.5422968898595947,519.0069258266308,5.39,9.39,4.934738288519877
VYD_02776,-0.018032711976903013,0.4296392301476325,437.0992690403207,16.9,18.86,2.3309910183595153
VYD_02777,-0.04701557089508554,0.3949339201742631,407.2371531768183,17.74,26.26,3.358891067790284
VYD_02778,0.12662043315019433,0.5428788737953958,446.85360781867314,12.0,18.0,1.3131431908065456
VYD_02779,-0.01844814513582766,0.3896994339699391,488.29158790170135,9.85,9.85,1.1544950511531533
VYD_02780,0.024143524161451373,0.4493793448322411,446.5166666666667,15.39,22.44,0.7597798680693849
VYD_02781,0.05670453555700452,0.5368147493156544,446.2567577360677,10.79,10.79,3.8103728877650305
VYD_02782,-0.013623579150571533,0.4466512978499338,346.86287192755503,17.74,26.26,0.6405293126082423
VYD_02783,-0.0009318754201531176,0.4074983219735398,471.20983318700615,4.95,4.95,3.7649855373931698
VYD_02784,0.06287088916304359,0.5549231567142171,491.63952757884164,3.0,4.5,2.190829496609374
VYD_02785,0.19953312749594154,0.6480487908824114,582.411336912934,15.0,23.0,4.051377349370822
VYD_02786,0.01622626139414482,0.4951744193877978,455.5002583645525,17.74,26.26,4.269892236496872
VYD_02787,0.15877216830636875,0.6148922412693484,522.7269233317871,20.55,31.05,4.1476858720738345
VYD_02788,0.027958579913850163,0.41773995075909726,426.9266199399228,16.08,17.43,1.9257742133780542
VYD_02789,0.11112332071550018,0.5463170911430377,583.7295056073291,15.98,15.98,3.486792890416872
VYD_02790,-0.05083068931942459,0.4549920184466704,512.3470560820258,13.48,19.98,5.342980526468321
VYD_02791,0.005171092907823867,0.5673368114840207,496.6879723803302,15.79,22.59,2.949993979231803
VYD_02792,0.031417785801121076,0.43481052445810736,442.6412441886207,6.64,10.14,2.4860211119903366
VYD_02793,0.013373753126337354,0.4228392144453641,355.31019698725373,5.5,8.0,2.3721596700129575
VYD_02794,0.1435461523323581,0.5428878067842433,552.8353901273885,10.73,12.73,1.3836318254739395
VYD_02795,0.0648830877173477,0.5124581907170205,490.24808879324985,9.74,9.74,4.898381751012254
VYD_02796,-0.047999674276657696,0.2936152300398214,328.77591397849466,13.48,19.98,0.6426533297329784
VYD_02797,-0.018439892751748264,0.366612925980855,412.1635220125786,18.0,27.0,0.08823137641672713
VYD_02798,-0.05170769404887606,0.37470664058445613,317.64943820224727,20.55,31.05,1.7162776424957207
VYD_02799,0.007053363104343521,0.4000430928531214,477.22424604359514,13.49,15.99,0.9282251699388709
VYD_02800,-0.05465310186177363,0.34751564991459144,377.4749952821288,15.0,23.0,2.916689566580038
VYD_02801,0.029563254982483207,0.48084898196520953,422.58969104665823,18.6,27.6,1.747195369964436
VYD_02802,-0.06537923015069437,0.2902303952370111,335.3299474605954,8.4,8.4,0.7866357546391397
VYD_02803,-0.047229211694750355,0.3467817628942865,577.6144736842107,8.14,8.14,0.838874271433171
VYD_02804,-0.045695447434792064,0.42375639358622913,497.5388305300868,12.0,18.0,4.550905217708487
VYD_02805,0.04532577132309758,0.4913628871911605,562.0860050890585,10.68,10.68,1.6177414112290889
